#k1  k2  Akw_up(w_target)    Akw_dn(w_target)
13  46  0.069109  6.21392
13  47  0.0689529  5.8205

14  0  0.0527347  3.82384
14  1  0.0527614  4.02308
14  2  0.0528419  4.65623
14  3  0.0529771  5.69784
14  4  0.0531689  6.3626
14  5  0.0534198  5.04523
14  6  0.0537329  2.85282
14  7  0.0541119  1.46825
14  8  0.0545612  0.785343
14  9  0.0550855  0.448781
14  10  0.0556896  0.27291
14  11  0.0563781  0.174991
14  12  0.0571546  0.117342
14  13  0.0580211  0.0817777
14  14  0.0589763  0.0589762
14  15  0.0600145  0.0438882
14  16  0.0611233  0.0336466
14  17  0.0622818  0.0265555
14  18  0.063458  0.021577
14  19  0.0646085  0.0180584
14  20  0.0656787  0.0155806
14  21  0.0666063  0.0138718
14  22  0.0673274  0.0127569
14  23  0.0677861  0.0121271
14  24  0.0679437  0.0119235
14  25  0.0677861  0.0121271
14  26  0.0673274  0.0127569
14  27  0.0666063  0.0138718
14  28  0.0656787  0.0155806
14  29  0.0646085  0.0180584
14  30  0.063458  0.021577
14  31  0.0622818  0.0265555
14  32  0.0611233  0.0336466
14  33  0.0600145  0.0438882
14  34  0.0589763  0.0589762
14  35  0.0580211  0.0817777
14  36  0.0571546  0.117342
14  37  0.0563781  0.174991
14  38  0.0556896  0.27291
14  39  0.0550855  0.448781
14  40  0.0545612  0.785343
14  41  0.0541119  1.46825
14  42  0.0537329  2.85282
14  43  0.0534198  5.04523
14  44  0.0531689  6.3626
14  45  0.0529771  5.69784
14  46  0.0528419  4.65623
14  47  0.0527614  4.02308

15  0  0.0407892  2.31821
15  1  0.0408031  2.44542
15  2  0.040845  2.88011
15  3  0.0409153  3.79894
15  4  0.0410147  5.37366
15  5  0.0411443  6.32884
15  6  0.0413054  4.24411
15  7  0.0414992  2.03485
15  8  0.0417275  0.985196
15  9  0.0419919  0.522583
15  10  0.0422939  0.302022
15  11  0.0426345  0.187096
15  12  0.0430145  0.12256
15  13  0.0434331  0.084081
15  14  0.0438883  0.0600144
15  15  0.0443757  0.0443757
15  16  0.0448881  0.0339003
15  17  0.0454146  0.0267169
15  18  0.0459403  0.0217085
15  19  0.046446  0.0181858
15  20  0.0469091  0.0157133
15  21  0.0473049  0.0140118
15  22  0.0476092  0.012903
15  23  0.0478011  0.0122772
15  24  0.0478668  0.0120749
15  25  0.0478011  0.0122772
15  26  0.0476092  0.012903
15  27  0.0473049  0.0140118
15  28  0.0469091  0.0157133
15  29  0.046446  0.0181858
15  30  0.0459403  0.0217085
15  31  0.0454146  0.0267169
15  32  0.0448881  0.0339003
15  33  0.0443757  0.0443757
15  34  0.0438883  0.0600144
15  35  0.0434331  0.084081
15  36  0.0430145  0.12256
15  37  0.0426345  0.187096
15  38  0.0422939  0.302022
15  39  0.0419919  0.522583
15  40  0.0417275  0.985196
15  41  0.0414992  2.03485
15  42  0.0413054  4.24411
15  43  0.0411443  6.32884
15  44  0.0410147  5.37366
15  45  0.0409153  3.79894
15  46  0.040845  2.88011
15  47  0.0408031  2.44542

16  0  0.0319639  1.41582
16  1  0.0319718  1.4871
16  2  0.0319953  1.7326
16  3  0.0320349  2.27551
16  4  0.0320907  3.42778
16  5  0.0321632  5.53258
16  6  0.0322529  5.92302
16  7  0.0323605  2.98426
16  8  0.0324866  1.28824
16  9  0.0326318  0.622418
16  10  0.0327964  0.338234
16  11  0.0329808  0.201292
16  12  0.0331847  0.12843
16  13  0.0334072  0.0865953
16  14  0.0336467  0.0611232
16  15  0.0339003  0.0448881
16  16  0.0341639  0.0341639
16  17  0.0344315  0.0268833
16  18  0.0346955  0.0218432
16  19  0.0349466  0.0183158
