#alpha(site in real lattice)   0up   0dn  1up     1dn
46    0.0303559    0.0303496    0.455811    0.455705    
82    0.0303559    0.0303496    0.455811    0.455705    
118    0.0303559    0.0303496    0.455811    0.455705    
22    0.0303559    0.0303496    0.455811    0.455705    
58    0.0303559    0.0303496    0.455811    0.455705    
94    0.0303559    0.0303496    0.455811    0.455705    
130    0.0303559    0.0303496    0.455811    0.455705    
34    0.0303559    0.0303496    0.455811    0.455705    
70    0.0303559    0.0303496    0.455811    0.455705    
106    0.0303559    0.0303496    0.455811    0.455705    
142    0.0303559    0.0303496    0.455811    0.455705    
2    0.0303559    0.0303496    0.455811    0.455705    
38    0.0303559    0.0303496    0.455811    0.455705    
74    0.0303559    0.0303496    0.455811    0.455705    
110    0.0303559    0.0303496    0.455811    0.455705    
14    0.0303559    0.0303496    0.455811    0.455705    
50    0.0303559    0.0303496    0.455811    0.455705    
86    0.0303559    0.0303496    0.455811    0.455705    
122    0.0303559    0.0303496    0.455811    0.455705    
26    0.0303559    0.0303496    0.455811    0.455705    
62    0.0303559    0.0303496    0.455811    0.455705    
98    0.0303559    0.0303496    0.455811    0.455705    
134    0.0303559    0.0303496    0.455811    0.455705    
5    0.0303559    0.0303496    0.455811    0.455705    
41    0.0303559    0.0303496    0.455811    0.455705    
77    0.0303559    0.0303496    0.455811    0.455705    
113    0.0303559    0.0303496    0.455811    0.455705    
17    0.0303559    0.0303496    0.455811    0.455705    
53    0.0303559    0.0303496    0.455811    0.455705    
89    0.0303559    0.0303496    0.455811    0.455705    
125    0.0303559    0.0303496    0.455811    0.455705    
29    0.0303559    0.0303496    0.455811    0.455705    
65    0.0303559    0.0303496    0.455811    0.455705    
101    0.0303559    0.0303496    0.455811    0.455705    
137    0.0303559    0.0303496    0.455811    0.455705    
8    0.0303559    0.0303496    0.455811    0.455705    
44    0.0303559    0.0303496    0.455811    0.455705    
80    0.0303559    0.0303496    0.455811    0.455705    
116    0.0303559    0.0303496    0.455811    0.455705    
20    0.0303559    0.0303496    0.455811    0.455705    
56    0.0303559    0.0303496    0.455811    0.455705    
92    0.0303559    0.0303496    0.455811    0.455705    
128    0.0303559    0.0303496    0.455811    0.455705    
32    0.0303559    0.0303496    0.455811    0.455705    
68    0.0303559    0.0303496    0.455811    0.455705    
104    0.0303559    0.0303496    0.455811    0.455705    
140    0.0303559    0.0303496    0.455811    0.455705    
11    0.0303559    0.0303496    0.455811    0.455705    
47    0.0303559    0.0303496    0.455811    0.455705    
83    0.0303559    0.0303496    0.455811    0.455705    
119    0.0303559    0.0303496    0.455811    0.455705    
23    0.0303559    0.0303496    0.455811    0.455705    
59    0.0303559    0.0303496    0.455811    0.455705    
95    0.0303559    0.0303496    0.455811    0.455705    
131    0.0303559    0.0303496    0.455811    0.455705    
35    0.0303559    0.0303496    0.455811    0.455705    
71    0.0303559    0.0303496    0.455811    0.455705    
107    0.0303559    0.0303496    0.455811    0.455705    
143    0.0303559    0.0303496    0.455811    0.455705    
