#k1  k2  Akw_up(w_target)    Akw_dn(w_target)
20  30  0.0126538  5.97925
20  31  0.0125493  2.44713
20  32  0.0124643  0.866761
20  33  0.0123986  0.481173
20  34  0.0123519  0.341983
20  35  0.0123241  0.285243

21  0  0.0144998  0.355077
21  1  0.0145083  0.377555
21  2  0.0145339  0.459132
21  3  0.0145767  0.665638
21  4  0.0146371  1.27231
21  5  0.0147153  3.83971
21  6  0.0148116  4.52503
21  7  0.0149259  0.984296
21  8  0.0150578  0.330785
21  9  0.0152062  0.151334
21  10  0.0153689  0.0829219
21  11  0.0155424  0.0512641
21  12  0.0157215  0.0346925
21  13  0.0158989  0.025281
21  14  0.0160656  0.0196544
21  15  0.0162113  0.0162157
21  16  0.0163252  0.0141557
21  17  0.0163979  0.0130543
21  18  0.0164229  0.0127075
21  19  0.0163979  0.0130543
21  20  0.0163252  0.0141557
21  21  0.0162113  0.0162157
21  22  0.0160656  0.0196544
21  23  0.0158989  0.025281
21  24  0.0157215  0.0346925
21  25  0.0155424  0.0512641
21  26  0.0153689  0.0829219
21  27  0.0152062  0.151334
21  28  0.0150578  0.330785
21  29  0.0149259  0.984296
21  30  0.0148116  4.52503
21  31  0.0147153  3.83971
21  32  0.0146371  1.27231
21  33  0.0145767  0.665638
21  34  0.0145339  0.459132
21  35  0.0145083  0.377555

22  0  0.0180135  0.520504
22  1  0.0180214  0.557206
22  2  0.0180452  0.693141
22  3  0.0180851  1.05346
22  4  0.0181414  2.18979
22  5  0.0182145  5.94934
22  6  0.0183047  2.87843
22  7  0.0184121  0.761473
22  8  0.0185365  0.292273
22  9  0.0186771  0.142246
22  10  0.018832  0.0803797
22  11  0.0189981  0.0504631
22  12  0.0191704  0.0343881
22  13  0.0193421  0.025112
22  14  0.0195043  0.0195123
22  15  0.0196466  0.0160703
22  16  0.0197584  0.0140017
22  17  0.01983  0.0128937
22  18  0.0198547  0.0125447
22  19  0.01983  0.0128937
22  20  0.0197584  0.0140017
22  21  0.0196466  0.0160703
22  22  0.0195043  0.0195123
22  23  0.0193421  0.025112
22  24  0.0191704  0.0343881
22  25  0.0189981  0.0504631
22  26  0.018832  0.0803797
22  27  0.0186771  0.142246
22  28  0.0185365  0.292273
22  29  0.0184121  0.761473
22  30  0.0183047  2.87843
22  31  0.0182145  5.94934
22  32  0.0181414  2.18979
22  33  0.0180851  1.05346
22  34  0.0180452  0.693141
22  35  0.0180214  0.557206

23  0  0.0233997  0.849208
23  1  0.0234083  0.918185
23  2  0.0234344  1.18041
23  3  0.0234783  1.91154
23  4  0.0235403  4.17812
23  5  0.023621  5.78895
23  6  0.0237211  1.79335
23  7  0.0238409  0.593948
23  8  0.0239805  0.257441
23  9  0.0241393  0.133172
23  10  0.0243157  0.077695
23  11  0.0245063  0.0495882
23  12  0.0247059  0.0340485
23  13  0.0249066  0.0249209
23  14  0.0250978  0.0193504
23  15  0.025267  0.0159039
23  16  0.0254008  0.0138249
23  17  0.0254869  0.0127092
23  18  0.0255167  0.0123574
23  19  0.0254869  0.0127092
23  20  0.0254008  0.0138249
23  21  0.025267  0.0159039
23  22  0.0250978  0.0193504
23  23  0.0249066  0.0249209
23  24  0.0247059  0.0340485
23  25  0.0245063  0.0495882
23  26  0.0243157  0.077695
23  27  0.0241393  0.133172
23  28  0.0239805  0.257441
23  29  0.0238409  0.593948
23  30  0.0237211  1.79335
23  31  0.023621  5.78895
23  32  0.0235403  4.17812
23  33  0.0234783  1.91154
23  34  0.0234344  1.18041
23  35  0.0234083  0.918185

24  0  0.0315023  1.54306
24  1  0.031516  1.68947
24  2  0.0315575  2.25545
24  3  0.0316273  3.79429
24  4  0.0317264  6.32893
24  5  0.0318561  3.55231
24  6  0.0320179  1.18673
24  7  0.032213  0.474995
24  8  0.0324425  0.228203
24  9  0.0327062  0.124797
24  10  0.0330025  0.0750724
24  11  0.033327  0.0487029
24  12  0.0336714  0.0336972
24  13  0.0340226  0.0247205
24  14  0.0343621  0.019179
24  15  0.0346664  0.0157268
24  16  0.0349097  0.0136361
24  17  0.0350675  0.0125119
24  18  0.0351223  0.0121571
24  19  0.0350675  0.0125119
24  20  0.0349097  0.0136361
24  21  0.0346664  0.0157268
24  22  0.0343621  0.019179
24  23  0.0340226  0.0247205
24  24  0.0336714  0.0336972
24  25  0.033327  0.0487029
24  26  0.0330025  0.0750724
24  27  0.0327062  0.124797
24  28  0.0324425  0.228203
24  29  0.032213  0.474995
24  30  0.0320179  1.18673
24  31  0.0318561  3.55231
24  32  0.0317264  6.32893
24  33  0.0316273  3.79429
24  34  0.0315575  2.25545
24  35  0.031516  1.68947

25  0  0.0436065  3.03916
25  1  0.0436365  3.34669
25  2  0.0437268  4.43779
25  3  0.0438795  6.18764
25  4  0.0440974  5.00283
25  5  0.0443845  2.09616
25  6  0.0447457  0.847037
25  7  0.0451863  0.391781
25  8  0.0457112  0.204629
25  9  0.0463239  0.11744
25  10  0.0470243  0.0726421
25  11  0.0478064  0.0478538
25  12  0.0486543  0.0333527
25  13  0.0495385  0.0245211
25  14  0.0504123  0.019007
25  15  0.0512123  0.015548
25  16  0.0518633  0.013445
25  17  0.0522912  0.0123118
25  18  0.0524407  0.0119539
25  19  0.0522912  0.0123118
25  20  0.0518633  0.013445
25  21  0.0512123  0.015548
25  22  0.0504123  0.019007
25  23  0.0495385  0.0245211
25  24  0.0486543  0.0333527
25  25  0.0478064  0.0478538
